analysis_id,19r276w3i712s35
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919107
pvalue,0.4689504
parameter_id,ESLIM_016_001_005
gene_symbol,Slc17a9
parameter_name,Mean cell volume
