gene_symbol,Inpp1
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:104848
pvalue,0.4570219
analysis_id,hf2c73te0zw6dw4
parameter_id,MGP_PBI_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
