analysis_id,5f6430jvgpr57zo
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
parameter_id,IMPC_GEL_027_001
gene_accession_id,MGI:2441730
parameter_name,Neural tube closure
pvalue,0.2997635
mouse_strain,C57BL
