gene_symbol,Kif24
pvalue,0.4860578
parameter_name,B cell number
analysis_id,33150uf90166665
gene_accession_id,MGI:1918345
parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
mouse_life_stage,Early adult
