gene_symbol,Zc2hc1a
analysis_id,e88nngpi554n28m
gene_accession_id,MGI:1914556
mouse_strain,C57BL
parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
mouse_life_stage,Early adult
pvalue,0.8126798
