analysis_id,xfunr68m51550q6
mouse_strain,C57BL
parameter_id,ESLIM_011_001_703
parameter_name,Prepulse inhibition - PP3
gene_symbol,Zcchc2
pvalue,0.7844318
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
