parameter_name,Edema
parameter_id,IMPC_GEO_064_001
gene_symbol,Zmynd19
mouse_life_stage,Early adult
analysis_id,hbeu36t1m94zuc2
mouse_strain,C57BL
pvalue,0.7065568
gene_accession_id,MGI:1914437
