analysis_id,gz7703r4dim123o
gene_accession_id,MGI:1338022
parameter_id,IMPC_EYE_062_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Opn3
pvalue,0.7276611
parameter_name,Right total retinal thickness
