analysis_id,2clj08q3n166367
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
gene_symbol,Cntfr
pvalue,0.4206528
mouse_strain,129SV
