analysis_id,0g9aj0l5v5tj5gw
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
parameter_id,MGP_MLN_010_001
parameter_name,Resting Treg cells - % of Treg
pvalue,0.2593828
mouse_strain,C57BL
mouse_life_stage,Early adult
