gene_symbol,Alkbh3
mouse_life_stage,Early adult
parameter_id,MGP_PBI_003_001
pvalue,0.5512632
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
gene_accession_id,MGI:1916363
analysis_id,hpwc7k66a1tft73
