analysis_id,026r2q7oeb9ip32
pvalue,0.3100527
mouse_life_stage,Early adult
parameter_id,MGP_IMM_006_001
gene_symbol,Lurap1
gene_accession_id,MGI:1915325
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
