analysis_id,6988a75rqt3zw4s
mouse_strain,C57BL
pvalue,0.5969449
gene_accession_id,MGI:105072
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_007_001
gene_symbol,Rab22a
