analysis_id,2z1qr9wos448707
pvalue,0.8078005
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
gene_accession_id,MGI:105072
gene_symbol,Rab22a
mouse_life_stage,Early adult
parameter_id,MGP_PBI_030_001
mouse_strain,C57BL
