gene_symbol,Sprr1b
gene_accession_id,MGI:106659
mouse_strain,C57BL
pvalue,0.7269634
analysis_id,0r9mv6v98sr2834
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
mouse_life_stage,Early adult
