analysis_id,hu4750ko0o86440
gene_accession_id,MGI:108072
gene_symbol,Traf6
parameter_id,MGP_MLN_033_001
mouse_strain,C57BL
pvalue,0.888398
mouse_life_stage,Early adult
parameter_name,Resting NK cells - % of NK cells
