analysis_id,z5t5m2rkx0vu265
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_symbol,Col6a3
gene_accession_id,MGI:88461
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8952039
parameter_id,IMPC_IMM_005_002
