analysis_id,0mi50mv6w46q6f7
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
pvalue,0.9419178
parameter_id,MGP_IMM_010_001
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
mouse_strain,C57BL
