analysis_id,415j71rm83lg5b0
gene_accession_id,MGI:1918345
gene_symbol,KIF24
pvalue,0.550836
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
parameter_name,Tibia length
