parameter_name,Neutrophil differential count
mouse_strain,C57BL
pvalue,0.658947
analysis_id,th4o5j619476ox6
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_029_001
gene_symbol,Col6a3
gene_accession_id,MGI:88461
