parameter_name,Basophil differential count
parameter_id,IMPC_HEM_038_001
gene_accession_id,MGI:105072
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8329213
analysis_id,0mx8ban13bp0n13
gene_symbol,Rab22a
