analysis_id,cj9h1gz7j08i42p
mouse_strain,C57BL
parameter_name,White blood cell-count
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
pvalue,0.3478172
parameter_id,M-G-P_016_001_001
gene_symbol,Zc2hc1a
