parameter_name,Tibia length
analysis_id,mfcs2581goz5g31
gene_accession_id,MGI:99501
pvalue,0.8646179
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
gene_symbol,Fgb
