parameter_name,% Freezing duration habituation-1
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
pvalue,0.2673553
parameter_id,ICS_FEA_016_001
analysis_id,269ln1bw29x83ta
mouse_strain,C57BL
gene_symbol,Secisbp2l
