analysis_id,wj2ysln1fkcjh99
gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
pvalue,0.3559683
mouse_strain,C57BL
parameter_id,IMPC_GEL_028_001
parameter_name,Forebrain
mouse_life_stage,Early adult
