mouse_strain,B6J
parameter_name,Whole arena average speed
gene_symbol,Nr0b2
pvalue,0.4429274
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
parameter_id,IMPC_OFD_009_001
analysis_id,805z95mmh3nv5ut
