parameter_name,center - distance
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
pvalue,0.1482062
analysis_id,m3qybxv2y8rc1do
mouse_strain,C57BL
gene_symbol,UBXN11
gene_accession_id,MGI:1914836
