gene_symbol,Inpp1
mouse_strain,C57BL
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:104848
pvalue,0.9710142
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,Early adult
analysis_id,p70v2i76a3e60os
