analysis_id,p1030bv1r198qf2
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
parameter_name,Stroke Volume
gene_symbol,Tbl1xr1
mouse_strain,C57BL
pvalue,0.318079
parameter_id,IMPC_ECH_003_001
