parameter_name,Eyelid morphology
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
pvalue,0.7490315
mouse_strain,C57BL
gene_accession_id,MGI:1916043
analysis_id,8aj14fx9n17g9u4
gene_symbol,Rab3gap2
