analysis_id,64cfp4yt1r8z49r
parameter_name,Prepulse inhibition - PP2
parameter_id,ESLIM_011_001_702
mouse_strain,C57BL
pvalue,0.07801482
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_life_stage,E12.5
