analysis_id,o5m0ouq610n1h08
gene_symbol,Rnf114
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
pvalue,0.3862275
mouse_life_stage,Early adult
parameter_name,Lower teeth appearance
gene_accession_id,MGI:1933159
