gene_symbol,Cmpk1
parameter_name,Shape of ribcage
gene_accession_id,MGI:1913838
analysis_id,b2kx36xw5pq3pt7
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_059_001
pvalue,0.07414607
