analysis_id,pyzp773gdze0817
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
pvalue,0.38568
parameter_name,B1B Cells
mouse_strain,C57BL
