gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
pvalue,0.1429775
parameter_name,center - distance
mouse_strain,129SV
gene_accession_id,MGI:1923959
analysis_id,883i4611yx2u93x
