parameter_name,Limb grasp
mouse_strain,C57BL
gene_symbol,EPRS1
analysis_id,d724wy9l2j5apl9
pvalue,0.9854263
gene_accession_id,MGI:97838
parameter_id,IMPC_CSD_039_001
mouse_life_stage,E9.5
