analysis_id,b34jiig5p96185y
mouse_strain,C57BL
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.9859399
parameter_id,MGP_PBI_033_001
mouse_life_stage,Middle aged adult
