gene_symbol,Fgb
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Triglycerides
analysis_id,lpjh7791182sc32
pvalue,0.212478
gene_accession_id,MGI:99501
