analysis_id,0cxxk6080yus4h1
gene_accession_id,MGI:2140475
mouse_strain,C57BL
pvalue,0.5923749
parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_702
gene_symbol,AU040320
