gene_symbol,Hspa5
parameter_id,MGP_MLN_021_001
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
pvalue,0.3502368
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
analysis_id,0le634xo4x01q58
