analysis_id,r7144k1fnm458op
gene_symbol,Slc30a4
parameter_name,Periphery resting time
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_id,ESLIM_007_001_007
pvalue,0.6116843
mouse_life_stage,Late adult
