parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:1328306
pvalue,0.525461
mouse_life_stage,E9.5
parameter_name,Facial Morphology
analysis_id,g60567370kw2h19
gene_symbol,Orc2
mouse_strain,C57BL
