analysis_id,upmu133xcoagh9h
mouse_strain,C57BL
gene_accession_id,MGI:1927232
pvalue,0.3788824
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
gene_symbol,Rab13
mouse_life_stage,Early adult
