parameter_name,Basophil cell count
parameter_id,IMPC_HEM_037_001
mouse_strain,C57BL
pvalue,0.3034435
analysis_id,9rdq15375mxx7r8
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
