gene_symbol,Bcs1l
parameter_id,MGP_PBI_035_001
pvalue,0.1870202
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_name,IgD+ mature B cell number
analysis_id,2iw57l13c435s3x
mouse_life_stage,E12.5
