analysis_id,oah511ei8hs831n
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3463468
gene_symbol,Kdm5b
parameter_name,Pericardium Morphology
gene_accession_id,MGI:1922855
parameter_id,IMPC_GEL_006_001
