Analysis_id,x0wi4a4zt2127n9
Mouse_strain,C57BL
Parameter_id,IMPC_IMM_065_001
Gene_symbol,Cds2
Parameter_name,B2B Cells
Pvalue,0.1752934
mouse_life_stage,Early adult
Gene_accession_id,MGI:1332236
