parameter_name,Hindpaw - size
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
parameter_id,JAXLA_CSD_041_002
gene_symbol,Hpca
mouse_strain,C57BL
pvalue,0.5464586
analysis_id,8o63338v9js9ttu
