parameter_name,Potassium
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,3ng02282zlwcw81
gene_symbol,Zcchc2
parameter_id,GMC_906_001_005
pvalue,0.1605022
