parameter_name,Neutrophil differential count
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_HEM_029_001
pvalue,0.9515014
analysis_id,6o239bhfx83bld7
gene_symbol,Frmpd1
mouse_life_stage,Late adult
