parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
pvalue,0.7676598
gene_accession_id,MGI:1345282
mouse_strain,C57BL
analysis_id,668tk7ybbzv55o2
mouse_life_stage,Early adult
gene_symbol,Slc30a4
