analysis_id,gj7w1x26jl553f6
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
gene_symbol,Inpp1
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:104848
mouse_strain,129SV
pvalue,0.8819773
