analysis_id,48zs81kh269ua7c
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
pvalue,0.9524053
mouse_strain,C57BL
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
gene_symbol,Kifap3
