analysis_id,fzv5n6z17iyg245
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Coat - hair texture / appearance - abdomen
gene_accession_id,MGI:1341628
gene_symbol,Atrn
parameter_id,IMPC_CSD_016_001
pvalue,0.6532086
