analysis_id,47lum4ehy3qn541
pvalue,0.4638308
gene_accession_id,MGI:95835
parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
mouse_life_stage,E9.5
gene_symbol,Hspa5
mouse_strain,C57BL
