analysis_id,2j83o982i8p9nf6
pvalue,0.7715632
gene_accession_id,MGI:1913838
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Center resting time
gene_symbol,Cmpk1
parameter_id,JAX_OFD_015_001
