parameter_name,Thyroxine
mouse_life_stage,Early adult
pvalue,0.1144111
parameter_id,IMPC_CBC_053_001
analysis_id,8dq80v116kinok5
mouse_strain,C57BL
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
