gene_symbol,Hpca
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
analysis_id,403ik9ie80537kd
pvalue,0.3418036
mouse_strain,C57BL
parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:1336200
