analysis_id,43snjivr03i3xwd
gene_accession_id,MGI:3045306
gene_symbol,Exd1
pvalue,0.4018043
mouse_life_stage,Early adult
parameter_name,Tibia length
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
