gene_symbol,Secisbp2l
analysis_id,l0awb6n3u20809d
parameter_id,IMPC_CBC_025_001
pvalue,0.1323071
parameter_name,LDL-cholesterol
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1917604
