analysis_id,f1dnbp4u51967h5
parameter_id,IMPC_IPG_011_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Eprs1
pvalue,0.8577028
gene_accession_id,MGI:97838
parameter_name,Initial response to glucose challenge
