analysis_id,uc88i069few1iw3
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
parameter_name,LVIDd
mouse_strain,C57BL
gene_symbol,Trpa1
pvalue,0.653497
