analysis_id,657002lij7rx274
gene_symbol,Snap23
parameter_id,MGP_PBI_001_001
parameter_name,Total T cell percentage
mouse_life_stage,Late adult
pvalue,0.7702266
gene_accession_id,MGI:109356
mouse_strain,C57BL
