gene_symbol,Rab22a
analysis_id,836o756qul1m01g
pvalue,0.2209957
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
gene_accession_id,MGI:105072
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
